"","word","freq"
"591","atlantic",666
"592","atleast",116
"593","atm",103
"594","atmosphere",365
"595","atop",210
"596","attached",328
"597","attack",1407
"598","attacked",319
"599","attacking",210
"600","attacks",695
"601","attempt",954
"602","attempted",405
"603","attempting",281
"604","attempts",425
"605","attend",972
"606","attendance",405
"607","attendant",52
"608","attended",787
"609","attendees",250
"610","attending",749
"611","attention",2187
"612","attitude",662
"613","attn",75
"614","attorney",2458
"615","attorney's",253
"616","attorneys",582
"617","attract",355
"618","attracted",234
"619","attracting",82
"620","attraction",223
"621","attractions",155
"622","attractive",437
"623","attracts",70
"624","attributed",98
"625","auburn",201
"626","auction",475
"627","audience",1297
"628","audiences",221
"629","audio",382
"630","audit",255
"631","audition",412
"632","auditions",227
"633","auditor",150
"634","auditorium",194
"635","aug",740
"636","august",1272
"637","aunt",288
"638","aurora",111
"639","austerity",136
"640","austin",2021
"641","austin's",55
"642","australia",327
"643","australian",189
"644","authentic",211
"645","author",1052
"646","authorities",1542
"647","authority",1231
"648","authorized",206
"649","authors",287
"650","autism",304
"651","auto",1025
"652","autograph",94
"653","automaker",158
"654","automakers",143
"655","automatic",291
"656","automatically",287
"657","automobile",22
"658","automotive",152
"659","autopsy",43
"660","autumn",97
"661","avail",59
"662","availability",150
"663","available",3458
"664","avatar",197
"665","ave",1172
"666","avengers",731
"667","avenue",1679
"668","average",2489
"669","averaged",329
"670","averaging",298
"671","avery",37
"672","avi",208
"673","aviation",170
"674","avoid",1262
"675","avoided",174
"676","avoiding",208
"677","avon",160
"678","await",35
"679","awaited",41
"680","awaiting",258
"681","awaits",54
"682","awake",657
"683","award",1666
"684","awarded",397
"685","awards",1084
"686","aware",769
"687","awareness",507
"688","away",7845
"689","awe",321
"690","awesome",7577
"691","awesomeness",128
"692","awful",652
"693","awh",100
"694","awhile",420
"695","awkward",1093
"696","aww",701
"697","awww",478
"698","aye",246
"699","babies",614
"700","baby",4279
"701","bach",37
"702","bachelor",179
"703","bachelor's",97
"704","back",28572
"705","backdrop",101
"706","backed",526
"707","background",764
"708","backgrounds",39
"709","backing",319
"710","backs",368
"711","backup",421
"712","backwards",149
"713","backyard",316
"714","bacon",790
"715","bacteria",140
"716","bad",8418
"717","badass",177
"718","badge",191
"719","badger",131
"720","badgers",281
"721","badly",397
"722","bag",1292
"723","baggage",111
"724","bags",679
"725","bail",408
"726","bailey",231
"727","bailout",215
"728","bait",39
"729","bake",355
"730","baked",402
"731","baker",373
"732","bakery",226
"733","baking",417
"734","balance",1024
"735","balanced",357
"736","balancing",62
"737","balcony",60
"738","bald",123
"739","baldwin",228
"740","ball",3490
"741","ballard",87
"742","ballet",215
"743","balloon",169
"744","ballot",704
"745","ballots",144
"746","ballpark",201
"747","ballroom",216
"748","balls",719
"749","baltimore",1759
"750","bam",39
"751","ban",565
"752","banana",331
"753","bananas",149
"754","band",2763
"755","bands",751
"756","bank",2420
"757","bank's",107
"758","banker",38
"759","banking",306
"760","bankrupt",43
"761","bankruptcy",632
"762","banks",1106
"763","banned",299
"764","banner",218
"765","banners",37
"766","banning",78
"767","banquet",82
"768","bans",113
"769","baptist",193
"770","bar",3071
"771","barack",784
"772","barbara",393
"773","barbecue",215
"774","barber",137
"775","barcelona",133
"776","bare",219
"777","barely",672
"778","bargain",193
"779","bargaining",252
"780","barking",18
"781","barkley",142
"782","barn",166
"783","barnes",440
"784","barnett",17
"785","baron",108
"786","barred",124
"787","barrel",297
"788","barrels",139
"789","barrett",175
"790","barrier",159
"791","barriers",137
"792","barry",344
"793","bars",723
"794","bart",82
"795","bartender",188
"796","base",1904
"797","baseball",2220
"798","baseball's",19
"799","based",4557
"800","baseman",288
"801","basement",318
"802","bases",423
"803","bash",174
"804","bashing",18
"805","basic",688
"806","basically",671
"807","basics",170
"808","basil",189
"809","basin",68
"810","basis",550
"811","basket",365
"812","basketball",2290
"813","bass",538
"814","bat",560
"815","batch",190
"816","bath",377
"817","bathing",19
"818","bathroom",593
"819","batman",195
"820","baton",35
"821","bats",338
"822","batter",210
"823","battered",86
"824","batteries",142
"825","batters",144
"826","battery",465
"827","batting",371
"828","battle",1281
"829","battled",115
"830","battles",202
"831","battling",186
"832","batum",92
"833","bay",1986
"834","baylor",237
"835","bball",141
"836","bbq",432
"837","bcs",182
"838","bday",650
"839","beach",2427
"840","beaches",194
"841","beachwood",62
"842","bean",307
"843","beans",506
"844","bear",832
"845","beard",358
"846","bearing",94
"847","bears",902
"848","beast",424
"849","beastie",180
"850","beat",2984
"851","beaten",293
"852","beating",623
"853","beatles",184
"854","beats",648
"855","beautiful",4741
"856","beautifully",183
"857","beauty",935
"858","beavers",300
"859","beaverton",185
"860","became",2134
"861","because",18650
"862","beck",159
"863","become",3995
"864","becomes",835
"865","becoming",1001
"866","bed",3171
"867","bedroom",499
"868","bedrooms",85
"869","beds",246
"870","bedtime",62
"871","bee",363
"872","beef",869
"873","been",32784
"874","beers",553
"875","bees",170
"876","beets",19
"877","before",15736
"878","beg",120
"879","began",2510
"880","begin",1893
"881","beginning",1606
"882","begins",1138
"883","begun",448
"884","behalf",419
"885","behavior",717
"886","behavioral",60
"887","behind",4041
"888","beijing",319
"889","being",14142
"890","beings",142
"891","belgium",98
"892","belieber",84
"893","beliebers",107
"894","belief",333
"895","beliefs",215
"896","believe",5746
"897","believed",787
"898","believer",100
"899","believes",886
"900","believing",224
"901","bell",765
"902","bella",189
"903","belleville",163
"904","bells",146
"905","belly",316
"906","belong",297
"907","belongs",208
"908","beloved",301
"909","below",1048
"910","belt",441
"911","belts",36
"912","ben",863
"913","bench",689
"914","benches",19
"915","bend",277
"916","beneath",193
"917","benedict",100
"918","benefit",1351
"919","benefited",35
"920","benefits",1682
"921","bengals",137
"922","benjamin",265
"923","bennett",332
